init network start
init network start
usrname is robot_100, pass is robot_100, fd is 7
Epoll event EPOLLIN | EPOLLRDHUP fd = 278
Epoll event EPOLLIN | EPOLLRDHUP fd = 282
Epoll event EPOLLIN | EPOLLRDHUP fd = 286
Epoll event EPOLLIN | EPOLLRDHUP fd = 280
Epoll event EPOLLIN | EPOLLRDHUP fd = 291
Epoll event EPOLLIN | EPOLLRDHUP fd = 284
Epoll event EPOLLIN | EPOLLRDHUP fd = 283
Epoll event EPOLLIN | EPOLLRDHUP fd = 290
Epoll event EPOLLIN | EPOLLRDHUP fd = 285
Epoll event EPOLLIN | EPOLLRDHUP fd = 294
Epoll event EPOLLIN | EPOLLRDHUP fd = 288
Epoll event EPOLLIN | EPOLLRDHUP fd = 287
Epoll event EPOLLIN | EPOLLRDHUP fd = 296
Epoll event EPOLLIN | EPOLLRDHUP fd = 295
Epoll event EPOLLIN | EPOLLRDHUP fd = 289
Epoll event EPOLLIN | EPOLLRDHUP fd = 293
Epoll event EPOLLIN | EPOLLRDHUP fd = 301
Epoll event EPOLLIN | EPOLLRDHUP fd = 297
Epoll event EPOLLIN | EPOLLRDHUP fd = 299
Epoll event EPOLLIN | EPOLLRDHUP fd = 292
Epoll event EPOLLIN | EPOLLRDHUP fd = 300
Epoll event EPOLLIN | EPOLLRDHUP fd = 306
Epoll event EPOLLIN | EPOLLRDHUP fd = 302
Epoll event EPOLLIN | EPOLLRDHUP fd = 298
Epoll event EPOLLIN | EPOLLRDHUP fd = 310
Epoll event EPOLLIN | EPOLLRDHUP fd = 304
Epoll event EPOLLIN | EPOLLRDHUP fd = 305
Epoll event EPOLLIN | EPOLLRDHUP fd = 308
Epoll event EPOLLIN | EPOLLRDHUP fd = 309
Epoll event EPOLLIN | EPOLLRDHUP fd = 307
Epoll event EPOLLIN | EPOLLRDHUP fd = 303
Epoll event EPOLLIN | EPOLLRDHUP fd = 312
Epoll event EPOLLIN | EPOLLRDHUP fd = 313
Epoll event EPOLLIN | EPOLLRDHUP fd = 311
Epoll event EPOLLIN | EPOLLRDHUP fd = 320
Epoll event EPOLLIN | EPOLLRDHUP fd = 315
Epoll event EPOLLIN | EPOLLRDHUP fd = 316
Epoll event EPOLLIN | EPOLLRDHUP fd = 318
Epoll event EPOLLIN | EPOLLRDHUP fd = 325
Epoll event EPOLLIN | EPOLLRDHUP fd = 314
Epoll event EPOLLIN | EPOLLRDHUP fd = 321
Epoll event EPOLLIN | EPOLLRDHUP fd = 324
Epoll event EPOLLIN | EPOLLRDHUP fd = 319
Epoll event EPOLLIN | EPOLLRDHUP fd = 329
Epoll event EPOLLIN | EPOLLRDHUP fd = 326
Epoll event EPOLLIN | EPOLLRDHUP fd = 323
Epoll event EPOLLIN | EPOLLRDHUP fd = 317
Epoll event EPOLLIN | EPOLLRDHUP fd = 330
Epoll event EPOLLIN | EPOLLRDHUP fd = 335
Epoll event EPOLLIN | EPOLLRDHUP fd = 334
Epoll event EPOLLIN | EPOLLRDHUP fd = 322
Epoll event EPOLLIN | EPOLLRDHUP fd = 331
Epoll event EPOLLIN | EPOLLRDHUP fd = 327
Epoll event EPOLLIN | EPOLLRDHUP fd = 328
Epoll event EPOLLIN | EPOLLRDHUP fd = 336
Epoll event EPOLLIN | EPOLLRDHUP fd = 341
Epoll event EPOLLIN | EPOLLRDHUP fd = 339
Epoll event EPOLLIN | EPOLLRDHUP fd = 332
Epoll event EPOLLIN | EPOLLRDHUP fd = 333
Epoll event EPOLLIN | EPOLLRDHUP fd = 346
Epoll event EPOLLIN | EPOLLRDHUP fd = 340
Epoll event EPOLLIN | EPOLLRDHUP fd = 344
Epoll event EPOLLIN | EPOLLRDHUP fd = 337
Epoll event EPOLLIN | EPOLLRDHUP fd = 351
Epoll event EPOLLIN | EPOLLRDHUP fd = 338
Epoll event EPOLLIN | EPOLLRDHUP fd = 342
Epoll event EPOLLIN | EPOLLRDHUP fd = 347
Epoll event EPOLLIN | EPOLLRDHUP fd = 345
Epoll event EPOLLIN | EPOLLRDHUP fd = 349
Epoll event EPOLLIN | EPOLLRDHUP fd = 352
Epoll event EPOLLIN | EPOLLRDHUP fd = 356
Epoll event EPOLLIN | EPOLLRDHUP fd = 343
Epoll event EPOLLIN | EPOLLRDHUP fd = 348
Epoll event EPOLLIN | EPOLLRDHUP fd = 355
Epoll event EPOLLIN | EPOLLRDHUP fd = 350
Epoll event EPOLLIN | EPOLLRDHUP fd = 361
Epoll event EPOLLIN | EPOLLRDHUP fd = 357
Epoll event EPOLLIN | EPOLLRDHUP fd = 354
Epoll event EPOLLIN | EPOLLRDHUP fd = 366
Epoll event EPOLLIN | EPOLLRDHUP fd = 359
Epoll event EPOLLIN | EPOLLRDHUP fd = 365
Epoll event EPOLLIN | EPOLLRDHUP fd = 353
Epoll event EPOLLIN | EPOLLRDHUP fd = 360
Epoll event EPOLLIN | EPOLLRDHUP fd = 358
Epoll event EPOLLIN | EPOLLRDHUP fd = 370
Epoll event EPOLLIN | EPOLLRDHUP fd = 362
Epoll event EPOLLIN | EPOLLRDHUP fd = 371
Epoll event EPOLLIN | EPOLLRDHUP fd = 372
Epoll event EPOLLIN | EPOLLRDHUP fd = 376
Epoll event EPOLLIN | EPOLLRDHUP fd = 364
Epoll event EPOLLIN | EPOLLRDHUP fd = 363
Epoll event EPOLLIN | EPOLLRDHUP fd = 368
Epoll event EPOLLIN | EPOLLRDHUP fd = 369
Epoll event EPOLLIN | EPOLLRDHUP fd = 377
Epoll event EPOLLIN | EPOLLRDHUP fd = 381
Epoll event EPOLLIN | EPOLLRDHUP fd = 375
Epoll event EPOLLIN | EPOLLRDHUP fd = 367
Epoll event EPOLLIN | EPOLLRDHUP fd = 382
Epoll event EPOLLIN | EPOLLRDHUP fd = 374
Epoll event EPOLLIN | EPOLLRDHUP fd = 373
Epoll event EPOLLIN | EPOLLRDHUP fd = 380
Epoll event EPOLLIN | EPOLLRDHUP fd = 386
Epoll event EPOLLIN | EPOLLRDHUP fd = 379
Epoll event EPOLLIN | EPOLLRDHUP fd = 389
Epoll event EPOLLIN | EPOLLRDHUP fd = 378
Epoll event EPOLLIN | EPOLLRDHUP fd = 385
Epoll event EPOLLIN | EPOLLRDHUP fd = 390
Epoll event EPOLLIN | EPOLLRDHUP fd = 383
Epoll event EPOLLIN | EPOLLRDHUP fd = 394
Epoll event EPOLLIN | EPOLLRDHUP fd = 384
Epoll event EPOLLIN | EPOLLRDHUP fd = 391
Epoll event EPOLLIN | EPOLLRDHUP fd = 395
Epoll event EPOLLIN | EPOLLRDHUP fd = 399
Epoll event EPOLLIN | EPOLLRDHUP fd = 387
Epoll event EPOLLIN | EPOLLRDHUP fd = 388
Epoll event EPOLLIN | EPOLLRDHUP fd = 396
Epoll event EPOLLIN | EPOLLRDHUP fd = 400
Epoll event EPOLLIN | EPOLLRDHUP fd = 403
Epoll event EPOLLIN | EPOLLRDHUP fd = 393
Epoll event EPOLLIN | EPOLLRDHUP fd = 392
Epoll event EPOLLIN | EPOLLRDHUP fd = 401
Epoll event EPOLLIN | EPOLLRDHUP fd = 405
Epoll event EPOLLIN | EPOLLRDHUP fd = 397
Epoll event EPOLLIN | EPOLLRDHUP fd = 407
Epoll event EPOLLIN | EPOLLRDHUP fd = 398
Epoll event EPOLLIN | EPOLLRDHUP fd = 406
Epoll event EPOLLIN | EPOLLRDHUP fd = 410
Epoll event EPOLLIN | EPOLLRDHUP fd = 402
Epoll event EPOLLIN | EPOLLRDHUP fd = 404
Epoll event EPOLLIN | EPOLLRDHUP fd = 411
Epoll event EPOLLIN | EPOLLRDHUP fd = 414
Epoll event EPOLLIN | EPOLLRDHUP fd = 415
Epoll event EPOLLIN | EPOLLRDHUP fd = 408
Epoll event EPOLLIN | EPOLLRDHUP fd = 409
Epoll event EPOLLIN | EPOLLRDHUP fd = 416
Epoll event EPOLLIN | EPOLLRDHUP fd = 421
Epoll event EPOLLIN | EPOLLRDHUP fd = 412
Epoll event EPOLLIN | EPOLLRDHUP fd = 413
Epoll event EPOLLIN | EPOLLRDHUP fd = 420
Epoll event EPOLLIN | EPOLLRDHUP fd = 417
Epoll event EPOLLIN | EPOLLRDHUP fd = 425
Epoll event EPOLLIN | EPOLLRDHUP fd = 422
Epoll event EPOLLIN | EPOLLRDHUP fd = 430
Epoll event EPOLLIN | EPOLLRDHUP fd = 427
Epoll event EPOLLIN | EPOLLRDHUP fd = 418
Epoll event EPOLLIN | EPOLLRDHUP fd = 419
Epoll event EPOLLIN | EPOLLRDHUP fd = 435
Epoll event EPOLLIN | EPOLLRDHUP fd = 434
Epoll event EPOLLIN | EPOLLRDHUP fd = 426
Epoll event EPOLLIN | EPOLLRDHUP fd = 423
Epoll event EPOLLIN | EPOLLRDHUP fd = 424
Epoll event EPOLLIN | EPOLLRDHUP fd = 440
Epoll event EPOLLIN | EPOLLRDHUP fd = 439
Epoll event EPOLLIN | EPOLLRDHUP fd = 431
Epoll event EPOLLIN | EPOLLRDHUP fd = 428
Epoll event EPOLLIN | EPOLLRDHUP fd = 429
Epoll event EPOLLIN | EPOLLRDHUP fd = 444
Epoll event EPOLLIN | EPOLLRDHUP fd = 445
Epoll event EPOLLIN | EPOLLRDHUP fd = 436
Epoll event EPOLLIN | EPOLLRDHUP fd = 432
Epoll event EPOLLIN | EPOLLRDHUP fd = 433
Epoll event EPOLLIN | EPOLLRDHUP fd = 448
Epoll event EPOLLIN | EPOLLRDHUP fd = 450
Epoll event EPOLLIN | EPOLLRDHUP fd = 441
Epoll event EPOLLIN | EPOLLRDHUP fd = 438
Epoll event EPOLLIN | EPOLLRDHUP fd = 437
Epoll event EPOLLIN | EPOLLRDHUP fd = 453
Epoll event EPOLLIN | EPOLLRDHUP fd = 455
Epoll event EPOLLIN | EPOLLRDHUP fd = 446
Epoll event EPOLLIN | EPOLLRDHUP fd = 442
Epoll event EPOLLIN | EPOLLRDHUP fd = 443
Epoll event EPOLLIN | EPOLLRDHUP fd = 460
Epoll event EPOLLIN | EPOLLRDHUP fd = 457
Epoll event EPOLLIN | EPOLLRDHUP fd = 451
Epoll event EPOLLIN | EPOLLRDHUP fd = 447
Epoll event EPOLLIN | EPOLLRDHUP fd = 465
Epoll event EPOLLIN | EPOLLRDHUP fd = 449
Epoll event EPOLLIN | EPOLLRDHUP fd = 462
Epoll event EPOLLIN | EPOLLRDHUP fd = 456
Epoll event EPOLLIN | EPOLLRDHUP fd = 452
Epoll event EPOLLIN | EPOLLRDHUP fd = 470
Epoll event EPOLLIN | EPOLLRDHUP fd = 454
Epoll event EPOLLIN | EPOLLRDHUP fd = 469
Epoll event EPOLLIN | EPOLLRDHUP fd = 461
Epoll event EPOLLIN | EPOLLRDHUP fd = 459
Epoll event EPOLLIN | EPOLLRDHUP fd = 475
Epoll event EPOLLIN | EPOLLRDHUP fd = 458
Epoll event EPOLLIN | EPOLLRDHUP fd = 472
Epoll event EPOLLIN | EPOLLRDHUP fd = 464
Epoll event EPOLLIN | EPOLLRDHUP fd = 463
Epoll event EPOLLIN | EPOLLRDHUP fd = 466
Epoll event EPOLLIN | EPOLLRDHUP fd = 480
Epoll event EPOLLIN | EPOLLRDHUP fd = 477
Epoll event EPOLLIN | EPOLLRDHUP fd = 467
Epoll event EPOLLIN | EPOLLRDHUP fd = 471
Epoll event EPOLLIN | EPOLLRDHUP fd = 468
Epoll event EPOLLIN | EPOLLRDHUP fd = 485
Epoll event EPOLLIN | EPOLLRDHUP fd = 482
Epoll event EPOLLIN | EPOLLRDHUP fd = 473
Epoll event EPOLLIN | EPOLLRDHUP fd = 476
Epoll event EPOLLIN | EPOLLRDHUP fd = 487
Epoll event EPOLLIN | EPOLLRDHUP fd = 490
Epoll event EPOLLIN | EPOLLRDHUP fd = 474
Epoll event EPOLLIN | EP
